true angle		time [ms]	gyro	accelerometer	filtr komplementarny (żyroskop + akcelerometr)	filtr kroczący, średnia z 5 ostatnich pomiarów (akcelerometr)	filtr kroczący, średnia z 10 ostatnich pomiarów (akcelerometr)
0		0	0	19,82675316	TODO	TODO	TODO
4,498125234		50	3,998125234	8,296453979			
8,985007498		100	7,985007498	-15,24241416			
13,44943192		150	11,94943192	21,49514567			
17,88023977		200	15,88023977	14,40586117			
22,26635633		250	19,76635633	18,35603045			
26,5968186		300	23,5968186	27,76811489			
30,86080267		350	27,36080267	31,66561364			
35,04765081		400	31,04765081	27,47215894			
39,14689807		450	34,64689807	32,35478411			
43,14829847		500	38,14829847	52,88795982			
47,0418506		550	41,5418506	50,1834144			
50,81782261		600	44,81782261	44,94129618			
54,46677652		650	47,96677652	52,3814866			
57,97959185		700	50,97959185	57,9704209			
61,3474884		750	53,8474884	44,82376742			
64,56204818		800	56,56204818	63,35046446			
67,61523646		850	59,11523646	59,58141528			
70,49942187		900	61,49942187	70,97359586			
73,20739543		950	63,70739543	74,82534846			
75,73238863		1000	65,73238863	81,08257262			
78,0680903		1050	67,5680903	85,08927156			
80,20866241		1100	69,20866241	81,94308223			
82,14875462		1150	70,64875462	80,71718536			
83,88351774		1200	71,88351774	80,65659771			
85,40861574		1250	72,90861574	84,1210688			
86,72023669		1300	73,72023669	92,1472335			
87,8151022		1350	74,3151022	78,39813843			
88,6904757		1400	74,6904757	79,88316834			
89,34416919		1450	74,84416919	86,45244549			
89,77454879		1500	74,77454879	85,88563925			
89,98053878		1550	74,48053878	91,66650636			
89,96162427		1600	73,96162427	91,11667649			
89,71785256		1650	73,21785256	102,2015071			
89,24983294		1700	72,24983294	88,79471638			
88,55873522		1750	71,05873522	103,8550239			
87,64628678		1800	69,64628678	76,46077579			
86,51476827		1850	68,01476827	83,34853558			
85,16700789		1900	66,16700789	91,60295754			
83,60637435		1950	64,10637435	80,17595893			
81,83676841		2000	61,83676841	96,53400681			
79,86261318		2050	59,36261318	79,16720524			
77,688843		2100	56,688843	94,4949168			
75,32089117		2150	53,82089117	59,21957429			
72,76467634		2200	50,76467634	74,26534768			
70,02658772		2250	47,52658772	72,39227439			
67,1134691		2300	44,1134691	64,43448995			
